smiles,logK1,metal_type,n_atoms,n_dative_bonds,donor_elements,n_measurements
C1#N->[Fe+3]<-S1,2.19,Fe,4,2,N+S,11
C1#N->[Fe+3]<-[S-]1,2.17,Fe,4,2,N+S,19
C1#N->[Hg+2]<-NC1,5.69,Hg,5,2,N,1
C1#N->[Hg+2]<-S1,9.36,Hg,4,2,N+S,2
C1#N->[Hg+2]<-[S-]1,9.08,Hg,4,2,N+S,1
C1#N->[Ho+3]<-S1,0.24,Ho,4,2,N+S,1
C1#N->[La+3]<-S1,0.22,La,4,2,N+S,2
C1#N->[La+3]<-[S-]1,0.12,La,4,2,N+S,3
C1#N->[Lu+3]<-S1,0.325,Lu,4,2,N+S,2
C1#N->[Lu+3]<-[S-]1,0.33,Lu,4,2,N+S,2
C1#N->[Mg+2]<-S1,-0.9,Mg,4,2,N+S,1
C1#N->[Mg+2]<-[S-]1,-1.0,Mg,4,2,N+S,1
C1#N->[Mn+2]<-S1,0.75,Mn,4,2,N+S,4
C1#N->[Mn+2]<-[S-]1,0.72,Mn,4,2,N+S,3
C1#N->[Nd+3]<-S1,-0.05,Nd,4,2,N+S,1
C1#N->[Nd+3]<-[S-]1,0.305,Nd,4,2,N+S,2
C1#N->[Ni+2]<-S1,1.285,Ni,4,2,N+S,6
C1#N->[Ni+2]<-[S-]1,1.18,Ni,4,2,N+S,11
C1#N->[Ni+2]<-n2cccc1c2,1.34,Ni,9,2,N,2
C1#N->[Np+4]<-[S-]1,1.5,Np,4,2,N+S,1
C1#N->[Pb+2]<-S1,0.66,Pb,4,2,N+S,4
C1#N->[Pb+2]<-[S-]1,0.5,Pb,4,2,N+S,9
C1#N->[Pm+3]<-S1,0.18,Pm,4,2,N+S,1
C1#N->[Pr+3]<-S1,0.11,Pr,4,2,N+S,1
C1#N->[Pr+3]<-[S-]1,0.27,Pr,4,2,N+S,1
C1#N->[Pu+3]<-S1,0.39,Pu,4,2,N+S,1
C1#N->[Pu+3]<-[S-]1,0.335,Pu,4,2,N+S,4
C1#N->[Ru+3]<-[S-]1,1.78,Ru,4,2,N+S,1
C1#N->[Sc+3]<-[S-]1,1.035,Sc,4,2,N+S,2
C1#N->[Sm+3]<-S1,0.09,Sm,4,2,N+S,1
C1#N->[Sm+3]<-[S-]1,0.13,Sm,4,2,N+S,1
C1#N->[Sn+2]<-S1,0.865,Sn,4,2,N+S,2
C1#N->[Sn+2]<-[S-]1,1.03,Sn,4,2,N+S,3
C1#N->[Tb+3]<-S1,0.18,Tb,4,2,N+S,1
C1#N->[Tb+3]<-[S-]1,0.23,Tb,4,2,N+S,1
C1#N->[Th+4]<-S1,1.08,Th,4,2,N+S,1
C1#N->[Th+4]<-[S-]1,1.08,Th,4,2,N+S,1
C1#N->[Ti+3]<-[S-]1,1.38,Ti,4,2,N+S,1
C1#N->[Ti+4]<-[S-]1,0.45,Ti,4,2,N+S,1
C1#N->[Tm+3]<-S1,0.26,Tm,4,2,N+S,1
C1#N->[U+4]<-S1,2.23,U,4,2,N+S,2
C1#N->[U+4]<-[S-]1,1.49,U,4,2,N+S,1
C1#N->[V+2]<-[S-]1,1.18,V,4,2,N+S,3
C1#N->[V+3]<-[S-]1,2.0,V,4,2,N+S,3
C1#N->[Y+3]<-[S-]1,-0.07,Y,4,2,N+S,1
C1#N->[Yb+3]<-S1,0.18,Yb,4,2,N+S,1
C1#N->[Zn+2]<-S1,1.005,Zn,4,2,N+S,6
C1#N->[Zn+2]<-[S-]1,0.71,Zn,4,2,N+S,15
C1=C/c2ccccn2->[Cu+2]<-n2cccc/1c2,1.0,Cu,15,2,N,1
C1=CCCCCNN2(->[Cd+2]<-NCC2)NOOOc2ccccc2C2=CCCC=C2CCC=C1,5.04,Cd,32,2,N,1
C1=CCCCCNN2(->[Cu+2]<-NCC2)NOOOc2ccccc2C2=CCCC=C2CCC=C1,17.95,Cu,32,2,N,1
C1=CCCCCNN2(->[Zn+2]<-NCC2)NOOOc2ccccc2C2=CCCC=C2CCC=C1,12.589,Zn,32,2,N,1
C1=CN2->[Fe+3]<-O=C1C=C2,2.1,Fe,8,2,N+O,1
C1=CS(=N2->[Cu+2]<-N(=S3C=CC=C3)CC2)C=C1,8.2,Cu,15,2,N,1
C1=NC2=N(Nc3ccccc3)->[Co+2]<-N2=C1,2.09,Co,14,2,N,1
C1=NC2=N(Nc3ccccc3)->[Ni+2]<-N2=C1,2.85,Ni,14,2,N,1
C1=O->[Co+2]<-n2ccccc21,1.75,Co,9,2,N+O,1
C1=O->[Cu+2]<-O=CC1,3.57,Cu,6,2,O,1
C1=O->[Cu+2]<-n2ccccc21,2.72,Cu,9,2,N+O,3
C1=O->[Hg+2]<-N1,2.06,Hg,4,2,N+O,1
C1=O->[Ni+2]<-O=CC1,2.07,Ni,6,2,O,1
C1=O->[Ni+2]<-n2ccccc21,1.605,Ni,9,2,N+O,2
C1=O->[Zn+2]<-n2ccccc21,1.67,Zn,9,2,N+O,1
C1CCC2(CC1)N->[Co+2]<-NC21CCCCC1,5.3,Co,15,2,N,1
C1CCC2(CC1)N->[Cu+2]<-NC21CCCCC1,12.2,Cu,15,2,N,1
C1CCC2(CC1)N->[Zn+2]<-NC21CCCCC1,6.35,Zn,15,2,N,1
C1CCC2=O->[Ni+2]<-N2CC1,2.34,Ni,9,2,N+O,2
C1CCC2CNCCNCCNCCNCCN(->[Mg+2]<-NC1)C2,2.5,Mg,22,2,N,1
C1CCC2N->[Cd+2]<-NC2C1,5.8,Cd,9,2,N,1
C1CCC2N->[Co+2]<-NC2C1,6.37,Co,9,2,N,1
C1CCC2N->[Cu+2]<-NC2C1,11.165,Cu,9,2,N,4
C1CCC2N->[Ni+2]<-NC2C1,7.935,Ni,9,2,N,2
C1CCC2N->[Zn+2]<-NC2C1,6.37,Zn,9,2,N,1
C1CCCCN23->[Ca+2]<-N(CCC1)(CCOCCOCC2)CCOCCOCC3,2.6,Ca,27,2,N,1
C1CCCCN23->[Cd+2]<-N(CCC1)(CCOCCOCC2)CCOCCOCC3,4.5,Cd,27,2,N,1
C1CCCCN23->[Cu+2]<-N(CCC1)(CCOCCOCC2)CCOCCOCC3,8.7,Cu,27,2,N,1
C1CCCCN23->[Hg+2]<-N(CCC1)(CCOCCOCC2)CCOCCOCC3,16.5,Hg,27,2,N,1
C1CCCCN23->[Mg+2]<-N(CCC1)(CCOCCOCC2)CCOCCOCC3,2.8,Mg,27,2,N,1
C1CCCCN23->[Ni+2]<-N(CCC1)(CCOCCOCC2)CCOCCOCC3,5.4,Ni,27,2,N,1
C1CCCCN23->[Pb+2]<-N(CCC1)(CCOCCOCC2)CCOCCOCC3,8.02,Pb,27,2,N,1
C1CCCCN23->[Sr+2]<-N(CCC1)(CCOCCOCC2)CCOCCOCC3,2.8,Sr,27,2,N,1
